"id","nome_campanha","data_inicio","data_fim","orcamento","publico_alvo","canais_divulgacao","tipo_campanha","taxa_conversao","impressoes"
319,"Campanha 319","2025-05-07","2025-06-04","28569.44","Publico Alvo 5","não especificado","Promocional","1.58","10000000"
321,"Campanha 321","2021-06-09","2021-06-14","55081.39","Publico Alvo 2","Sites de Notícias","Promocional","9.48","8000000"
322,"Campanha 322","2021-06-30","2021-07-17","35890.15","Publico Alvo 3","Sites de Notícias","não especificado","10.21","8000000"
323,"Campanha 323","2022-01-01","2022-01-29","42188.49","Publico Alvo 4","Sites de Notícias","não especificado","20.85","8000000"
324,"Campanha 324","2024-12-20","2025-01-05","6944.37","Publico Alvo 5","Sites de Notícias","Promocional","2.03","5000000"
325,"Campanha 325","2023-10-03","2023-10-08","65603.09","Publico Alvo 1","Redes Sociais","não especificado","23.85","1000000"
326,"Campanha 326","2023-03-23","2023-04-16","30372.28","Publico Alvo 2","Redes Sociais","Promocional","0.66","9000000"
327,"Campanha 327","2023-08-01","2023-08-26","1849.78","Publico Alvo 3","Sites de Notícias","não especificado","9.18","1000000"
329,"Campanha 329","2024-04-29","2024-05-19","45132.55","Publico Alvo 5","Google","Divulgação","10.18","2000000"
330,"Campanha 330","2024-08-28","2024-09-22","12600.61","Publico Alvo 1","Sites de Notícias","Divulgação","2.53","1000000"
336,"Campanha 336","2022-04-25","2022-05-01","10650.53","Publico Alvo 2","Redes Sociais","Divulgação","0.86","9000000"
337,"Campanha 337","2022-02-11","2022-03-12","34126.76","Publico Alvo 3","Redes Sociais","Promocional","27.62","3000000"
339,"Campanha 339","2021-11-12","2021-11-23","16427.90","Publico Alvo 5","não especificado","não especificado","28.32","3000000"
340,"Campanha 340","2024-10-08","2024-10-12","20063.53","Publico Alvo 1","Google","Mais Seguidores","18.78","2000000"
343,"Campanha 343","2024-01-22","2024-01-27","4063.57","Publico Alvo 4","Google","Promocional","7.20","2000000"
344,"Campanha 344","2025-01-03","2025-01-05","52295.18","Publico Alvo 5","Sites de Notícias","Divulgação","0.98","6000000"
345,"Campanha 345","2023-11-06","2023-11-08","91628.31","Publico Alvo 1","Redes Sociais","Promocional","16.82","8000000"
346,"Campanha 346","2022-09-21","2022-09-26","25550.56","Publico Alvo 2","Google","Promocional","0.74","3000000"
347,"Campanha 347","2022-08-04","2022-09-03","25507.71","Publico Alvo 3","Google","não especificado","19.88","4000000"
348,"Campanha 348","2022-12-14","2022-12-25","64737.61","Publico Alvo 4","Sites de Notícias","Mais Seguidores","22.56","6000000"
