"id","nome_campanha","data_inicio","data_fim","orcamento","publico_alvo","canais_divulgacao","tipo_campanha","taxa_conversao","impressoes"
111,"Campanha 111","2022-05-03","2022-05-12","41541.09","Publico Alvo 2","Google",NULL,"28.04","7000000"
112,"Campanha 112","2024-10-19","2024-10-22",NULL,"Publico Alvo 3","Google","Mais Seguidores","25.90","7000000"
113,"Campanha 113","2025-02-08","2025-02-18","73522.39","?","Sites de Notícias",NULL,"28.59","5000000"
114,"Campanha 114","2023-04-28","2023-05-07","79946.69","Publico Alvo 5","Google","Divulgação","27.07","6000000"
115,"Campanha 115","2024-03-17","2024-04-06",NULL,"Publico Alvo 1","Google","Divulgação","25.19","6000000"
116,"Campanha 116","2022-10-18","2022-10-19",NULL,"Publico Alvo 2","Sites de Notícias","Mais Seguidores","21.97","4000000"
117,"Campanha 117","2024-05-24","2024-06-23","87342.03","Publico Alvo 3","Sites de Notícias","Promocional","22.61","10000000"
118,"Campanha 118","2021-10-21","2021-11-03","37116.21","Publico Alvo 4",NULL,"Mais Seguidores","25.57","2000000"
119,"Campanha 119","2025-02-21","2025-03-18","82046.84","?",NULL,"Mais Seguidores","24.89","6000000"
120,"Campanha 120","2023-08-23","2023-09-12","23562.21","Publico Alvo 1","Google","Divulgação","13.61","6000000"
121,"Campanha 121","2025-04-08","2025-05-06","11050.91","Publico Alvo 2","Google","Divulgação","11.56","4000000"
122,"Campanha 122","2023-11-02","2023-11-17","52849.41","?",NULL,"Promocional","14.15","5000000"
123,"Campanha 123","2023-12-11","2023-12-13","18969.86","Publico Alvo 4","Google","Divulgação","15.16","6000000"
124,"Campanha 124","2023-01-28","2023-02-10","31128.37","Publico Alvo 5","Redes Sociais",NULL,"9.79","4000000"
125,"Campanha 125","2023-08-04","2023-08-31","56260.60","Publico Alvo 1","Sites de Notícias",NULL,"20.33","10000000"
126,"Campanha 126","2024-01-02","2024-01-10","61270.36","Publico Alvo 2","Google","Promocional","12.98","5000000"
127,"Campanha 127","2021-07-28","2021-08-20","71579.05","Publico Alvo 3","Google","Divulgação","28.42","4000000"
128,"Campanha 128","2022-10-30","2022-11-23",NULL,"Publico Alvo 4",NULL,"Mais Seguidores","8.49","2000000"
129,"Campanha 129","2024-12-18","2025-01-09","7407.22","Publico Alvo 5","Redes Sociais","Mais Seguidores","14.59","5000000"
130,"Campanha 130","2025-03-12","2025-04-10","66414.68","?","Redes Sociais","Divulgação","21.63","8000000"
131,"Campanha 131","2024-02-06","2024-02-18","61876.09","Publico Alvo 2","Google","Promocional","6.33","10000000"
132,"Campanha 132","2023-07-06","2023-07-12","55066.93","Publico Alvo 3","Redes Sociais",NULL,"9.98","3000000"
133,"Campanha 133","2024-11-16","2024-11-24","74935.79","?","Google","Divulgação","5.05","4000000"
134,"Campanha 134","2022-10-22","2022-11-05","71438.89","Publico Alvo 5","Google","Divulgação","20.48","7000000"
135,"Campanha 135","2021-11-23","2021-12-19","43507.26","Publico Alvo 1","Google","Promocional","26.23","3000000"
136,"Campanha 136","2021-11-04","2021-11-21","97449.11","?",NULL,"Mais Seguidores","6.16","5000000"
137,"Campanha 137","2022-02-16","2022-02-19","70139.95","Publico Alvo 3","Redes Sociais","Mais Seguidores","2.24","9000000"
138,"Campanha 138","2023-10-30","2023-11-09","1735.68","Publico Alvo 4","Google","Divulgação","1.14","4000000"
139,"Campanha 139","2021-08-06","2021-08-17","24364.99","Publico Alvo 5","Redes Sociais","Promocional","1.71","6000000"
140,"Campanha 140","2021-12-20","2022-01-04","67551.68","Publico Alvo 1",NULL,"Divulgação","16.33","3000000"
141,"Campanha 141","2022-02-23","2022-03-06",NULL,"Publico Alvo 2","Google","Divulgação","9.05","4000000"
142,"Campanha 142","2023-02-24","2023-03-21","8256.79","Publico Alvo 3","Redes Sociais","Promocional","4.92","3000000"
143,"Campanha 143","2022-04-30","2022-05-15","6430.87","?","Google","Promocional","8.82","2000000"
144,"Campanha 144","2023-09-12","2023-10-12","99678.69","Publico Alvo 5","Redes Sociais",NULL,"29.36","8000000"
145,"Campanha 145","2022-10-11","2022-10-27","35058.85","Publico Alvo 1","Sites de Notícias","Divulgação","0.93","3000000"
146,"Campanha 146","2023-01-20","2023-01-24","72360.15","Publico Alvo 2","Google","Mais Seguidores","2.26","4000000"
147,"Campanha 147","2022-01-02","2022-02-01","9335.53","Publico Alvo 3","Redes Sociais",NULL,"4.38","1000000"
148,"Campanha 148","2022-03-31","2022-04-22",NULL,"Publico Alvo 4","Redes Sociais","Divulgação","29.05","10000000"
149,"Campanha 149","2024-02-20","2024-02-21","52429.67","Publico Alvo 5","Sites de Notícias","Promocional","6.34","6000000"
150,"Campanha 150","2024-03-11","2024-03-28","64194.16","Publico Alvo 1",NULL,"Divulgação","26.98","9000000"
151,"Campanha 151","2025-03-06","2025-03-27","69697.20","Publico Alvo 2","Sites de Notícias","Promocional","13.20","9000000"
152,"Campanha 152","2024-11-09","2024-11-11","35623.41","Publico Alvo 3","Google","Divulgação","24.54","1000000"
153,"Campanha 153","2023-10-26","2023-11-24","5763.75","?","Google","Mais Seguidores","19.06","1000000"
154,"Campanha 154","2023-08-03","2023-08-14","74260.68","Publico Alvo 5","Google","Divulgação","10.89","5000000"
155,"Campanha 155","2024-08-09","2024-09-04","89557.25","Publico Alvo 1","Sites de Notícias","Mais Seguidores","18.40","1000000"
156,"Campanha 156","2024-09-11","2024-09-21",NULL,"Publico Alvo 2","Sites de Notícias","Promocional","23.21","4000000"
157,"Campanha 157","2022-03-03","2022-03-27",NULL,"Publico Alvo 3","Redes Sociais","Mais Seguidores","20.23","4000000"
158,"Campanha 158","2022-11-05","2022-11-07","74096.75","?","Redes Sociais","Divulgação","10.76","7000000"
159,"Campanha 159","2022-09-15","2022-10-03","9755.44","Publico Alvo 5","Redes Sociais",NULL,"7.28","8000000"
160,"Campanha 160","2024-10-08","2024-10-13",NULL,"Publico Alvo 1","Google",NULL,"28.77","9000000"
161,"Campanha 161","2023-05-15","2023-05-29","17378.12","?","Sites de Notícias","Divulgação","19.07","8000000"
162,"Campanha 162","2024-05-22","2024-05-31","65470.83","?","Google","Promocional","23.23","6000000"
163,"Campanha 163","2023-02-24","2023-03-21",NULL,"Publico Alvo 4","Google","Mais Seguidores","14.12","2000000"
164,"Campanha 164","2023-05-27","2023-06-24","22650.37","Publico Alvo 5","Redes Sociais","Divulgação","6.05","5000000"
165,"Campanha 165","2025-05-14","2025-05-25","68250.06","Publico Alvo 1","Redes Sociais",NULL,"7.61","10000000"
166,"Campanha 166","2024-07-29","2024-08-03","96660.51","Publico Alvo 2","Google","Mais Seguidores","9.77","7000000"
167,"Campanha 167","2021-08-30","2021-09-28","77535.44","Publico Alvo 3","Sites de Notícias","Promocional","16.30","8000000"
168,"Campanha 168","2023-02-02","2023-02-12","89450.71","?","Redes Sociais","Promocional","22.76","10000000"
169,"Campanha 169","2024-11-27","2024-12-07","36711.04","?","Redes Sociais","Mais Seguidores","11.88","1000000"
170,"Campanha 170","2024-12-02","2024-12-07","90731.87","Publico Alvo 1",NULL,"Promocional","26.04","10000000"
171,"Campanha 171","2024-01-27","2024-02-20",NULL,"Publico Alvo 2",NULL,NULL,"18.08","6000000"
172,"Campanha 172","2021-08-18","2021-08-30","44645.98","Publico Alvo 3","Google",NULL,"4.85","7000000"
173,"Campanha 173","2023-10-04","2023-10-13","88405.60","Publico Alvo 4","Sites de Notícias","Divulgação","18.13","5000000"
174,"Campanha 174","2024-08-04","2024-08-09",NULL,"Publico Alvo 5","Redes Sociais",NULL,"5.59","3000000"
175,"Campanha 175","2025-01-19","2025-01-30","80759.83","?","Google",NULL,"28.22","9000000"
176,"Campanha 176","2022-01-21","2022-02-11","79537.24","?","Redes Sociais","Mais Seguidores","22.35","9000000"
177,"Campanha 177","2023-11-25","2023-12-12",NULL,"Publico Alvo 3","Redes Sociais","Mais Seguidores","8.10","6000000"
178,"Campanha 178","2022-11-11","2022-12-10","25914.66","Publico Alvo 4","Redes Sociais","Mais Seguidores","22.70","8000000"
179,"Campanha 179","2023-02-07","2023-02-27","12854.15","Publico Alvo 5","Sites de Notícias","Promocional","18.55","3000000"
180,"Campanha 180","2025-01-15","2025-02-02","87984.46","Publico Alvo 1","Redes Sociais",NULL,"7.00","6000000"
181,"Campanha 181","2023-06-26","2023-07-22","20305.25","Publico Alvo 2","Sites de Notícias","Mais Seguidores","3.27","10000000"
182,"Campanha 182","2023-10-22","2023-11-15","90894.44","Publico Alvo 3","Sites de Notícias",NULL,"20.99","10000000"
183,"Campanha 183","2025-05-19","2025-05-26","8656.61","Publico Alvo 4","Redes Sociais","Promocional","23.14","5000000"
184,"Campanha 184","2021-12-03","2021-12-28","62601.41","Publico Alvo 5","Sites de Notícias","Promocional","25.70","4000000"
185,"Campanha 185","2023-12-26","2024-01-24","58022.10","?","Sites de Notícias","Divulgação","14.71","10000000"
186,"Campanha 186","2024-12-19","2025-01-03","95236.45","Publico Alvo 2","Google","Mais Seguidores","25.21","1000000"
187,"Campanha 187","2024-01-12","2024-02-11","79961.25","Publico Alvo 3","Google","Mais Seguidores","20.09","1000000"
188,"Campanha 188","2024-01-10","2024-01-19","31761.90","Publico Alvo 4",NULL,"Promocional","9.31","8000000"
189,"Campanha 189","2023-01-26","2023-02-11","83567.62","?","Google","Promocional","21.10","10000000"
190,"Campanha 190","2024-11-30","2024-12-24","76379.45","Publico Alvo 1","Google","Mais Seguidores","14.17","4000000"
191,"Campanha 191","2022-03-16","2022-04-13",NULL,"Publico Alvo 2","Redes Sociais","Mais Seguidores","14.04","6000000"
192,"Campanha 192","2024-02-12","2024-03-13","14116.44","Publico Alvo 3","Sites de Notícias","Promocional","25.46","5000000"
193,"Campanha 193","2024-12-27","2025-01-02","50154.10","Publico Alvo 4","Sites de Notícias",NULL,"2.65","6000000"
194,"Campanha 194","2022-08-27","2022-09-16","95047.76","?",NULL,"Promocional","19.12","8000000"
195,"Campanha 195","2021-07-24","2021-08-23",NULL,"?",NULL,"Divulgação","22.75","4000000"
196,"Campanha 196","2021-06-26","2021-07-06","20670.70","Publico Alvo 2","Redes Sociais",NULL,"23.26","9000000"
197,"Campanha 197","2024-06-06","2024-06-27","94612.63","Publico Alvo 3","Google",NULL,"29.12","1000000"
198,"Campanha 198","2022-02-02","2022-02-23","59025.91","Publico Alvo 4","Sites de Notícias","Divulgação","6.57","3000000"
199,"Campanha 199","2025-03-03","2025-03-21",NULL,"Publico Alvo 5","Redes Sociais","Mais Seguidores","25.82","7000000"
200,"Campanha 200","2024-01-07","2024-01-31",NULL,"Publico Alvo 1","Google","Promocional","21.29","8000000"
201,"Campanha 201","2025-03-17","2025-03-28","36796.48","Publico Alvo 2","Redes Sociais",NULL,"2.37","3000000"
202,"Campanha 202","2025-02-13","2025-02-20","19971.20","?","Sites de Notícias","Mais Seguidores","6.49","10000000"
203,"Campanha 203","2022-10-30","2022-11-06","22006.28","Publico Alvo 4","Google",NULL,"27.68","1000000"
204,"Campanha 204","2021-11-26","2021-12-16","10354.82","Publico Alvo 5","Redes Sociais","Divulgação","21.67","5000000"
205,"Campanha 205","2023-05-04","2023-05-28",NULL,"Publico Alvo 1","Sites de Notícias","Mais Seguidores","11.03","2000000"
206,"Campanha 206","2022-11-20","2022-12-07","48052.59","?","Sites de Notícias",NULL,"20.95","9000000"
207,"Campanha 207","2023-10-21","2023-11-09","42505.47","?","Sites de Notícias",NULL,"17.26","8000000"
208,"Campanha 208","2024-10-28","2024-11-25","42704.27","Publico Alvo 4","Redes Sociais",NULL,"7.17","5000000"
209,"Campanha 209","2024-08-19","2024-08-22","95785.79","Publico Alvo 5",NULL,"Promocional","4.70","6000000"
210,"Campanha 210","2023-03-10","2023-04-03","57930.86","Publico Alvo 1","Sites de Notícias","Mais Seguidores","21.98","10000000"
211,"Campanha 211","2025-01-25","2025-02-19","50651.27","?",NULL,NULL,"1.25","1000000"
212,"Campanha 212","2023-04-03","2023-04-28","35008.96","?","Sites de Notícias",NULL,"26.82","10000000"
213,"Campanha 213","2023-10-12","2023-11-06","35677.51","Publico Alvo 4","Google","Mais Seguidores","6.55","1000000"
214,"Campanha 214","2024-06-01","2024-06-08","55846.46","Publico Alvo 5","Redes Sociais","Divulgação","4.70","2000000"
215,"Campanha 215","2024-04-04","2024-04-20","85576.92","Publico Alvo 1","Redes Sociais",NULL,"25.61","3000000"
216,"Campanha 216","2022-12-15","2022-12-23","26136.31","Publico Alvo 2","Redes Sociais",NULL,"0.24","6000000"
217,"Campanha 217","2024-02-26","2024-03-10","54681.54","Publico Alvo 3","Sites de Notícias","Mais Seguidores","15.13","8000000"
218,"Campanha 218","2022-01-11","2022-01-23","52614.04","Publico Alvo 4","Sites de Notícias","Promocional","18.58","7000000"
219,"Campanha 219","2022-11-12","2022-11-23","8657.13","?","Google","Promocional","5.37","9000000"
220,"Campanha 220","2021-09-27","2021-10-12","43886.97","Publico Alvo 1","Redes Sociais","Divulgação","1.84","2000000"
221,"Campanha 221","2021-11-01","2021-11-15","9667.04","Publico Alvo 2","Google","Divulgação","4.08","7000000"
222,"Campanha 222","2024-07-14","2024-07-20",NULL,"Publico Alvo 3","Google","Mais Seguidores","23.27","4000000"
223,"Campanha 223","2022-02-04","2022-02-28","33850.63","?","Google","Mais Seguidores","9.78","2000000"
224,"Campanha 224","2024-12-28","2025-01-19","56449.38","Publico Alvo 5",NULL,"Divulgação","24.25","9000000"
225,"Campanha 225","2024-08-28","2024-09-20","66802.29","?","Google","Promocional","25.03","4000000"
226,"Campanha 226","2025-05-08","2025-05-30","58570.28","?","Sites de Notícias","Mais Seguidores","20.96","6000000"
227,"Campanha 227","2023-11-15","2023-11-29","43438.15","Publico Alvo 3","Sites de Notícias","Promocional","13.83","7000000"
228,"Campanha 228","2023-10-22","2023-11-14",NULL,"Publico Alvo 4","Sites de Notícias","Divulgação","2.04","5000000"
229,"Campanha 229","2022-08-08","2022-09-06","15007.95","?","Sites de Notícias",NULL,"19.50","1000000"
230,"Campanha 230","2024-01-23","2024-01-29","64600.92","Publico Alvo 1","Redes Sociais","Promocional","25.15","1000000"
231,"Campanha 231","2023-05-22","2023-06-01","58715.94","?","Redes Sociais",NULL,"10.22","4000000"
232,"Campanha 232","2023-03-07","2023-03-16","13382.97","Publico Alvo 3","Google","Divulgação","27.82","1000000"
233,"Campanha 233","2024-04-15","2024-04-24","14369.42","Publico Alvo 4",NULL,"Mais Seguidores","26.20","9000000"
234,"Campanha 234","2023-08-11","2023-08-27","87902.07","Publico Alvo 5","Sites de Notícias","Promocional","11.25","3000000"
